Army,Temple,45.5,+15.5,09/02/2016,2016-09-02 17:42:06.912685
Ball State,Georgia State,55,+5.5,09/02/2016,2016-09-02 18:12:17.554599
Colorado State,Colorado,58,+7,09/02/2016,2016-09-02 18:12:17.554599
Ball State,Georgia State,55.5,+5.5,09/02/2016,2016-09-02 18:30:25.526817
Ball State,Georgia State,55.5,+6,09/02/2016,2016-09-02 18:36:12.983945
Army,Temple,45.5,+14.5,09/02/2016,2016-09-02 18:42:06.265514
Colorado State,Colorado,58,+7.5,09/02/2016,2016-09-02 18:48:21.018567
Ball State,Georgia State,55.5,+6.5,09/02/2016,2016-09-02 18:54:13.031679
Kansas State,Stanford,50,+13,09/02/2016,2016-09-02 19:00:13.416502
Kansas State,Stanford,49.5,+13,09/02/2016,2016-09-02 19:30:10.526562
Colorado State,Colorado,57.5,+7.5,09/02/2016,2016-09-02 19:54:24.859480
Kansas State,Stanford,49.5,+13.5,09/02/2016,2016-09-02 20:18:07.918900
Toledo,Arkansas State,66,+4.5,09/02/2016,2016-09-02 20:54:18.102094
Georgia Tech,Boston College,43,-3,09/02/2016,2016-09-03 00:00:16.621525
Hawaii,Michigan,55.5,+40,09/02/2016,2016-09-03 00:00:16.621525
Western Michigan,Northwestern,51,+5,09/02/2016,2016-09-03 00:00:16.621525
Bowling Green,Ohio State,67,+28,09/02/2016,2016-09-03 00:00:16.621525
Missouri,West Virginia,50.5,+10,09/02/2016,2016-09-03 00:00:16.621525
South Alabama,Mississippi State,54,+28,09/02/2016,2016-09-03 00:00:16.621525
Oklahoma,Houston,68,-11.5,09/02/2016,2016-09-03 00:00:16.621525
Boise State,UL - Lafayette,64.5,-20,09/02/2016,2016-09-03 00:00:16.621525
Rutgers,Washington,54.5,+26.5,09/02/2016,2016-09-03 00:00:16.621525
Miami Ohio,Iowa,51,+27.5,09/02/2016,2016-09-03 00:00:16.621525
Kent State,Penn State,45,+22,09/02/2016,2016-09-03 00:00:16.621525
Texas State,Ohio,60.5,+21,09/02/2016,2016-09-03 00:00:16.621525
UCLA,Texas A&M,54.5,+3,09/02/2016,2016-09-03 00:00:16.621525
LSU,Wisconsin,45,-11,09/02/2016,2016-09-03 00:00:16.621525
Louisiana Tech,Arkansas,52.5,+25,09/02/2016,2016-09-03 00:00:16.621525
North Carolina,Georgia,57,+3,09/02/2016,2016-09-03 00:00:16.621525
SMU,North Texas,69.5,-9.5,09/02/2016,2016-09-03 00:00:16.621525
San Jose State,Tulsa,70.5,+5.5,09/02/2016,2016-09-03 00:00:16.621525
Southern Miss,Kentucky,63.5,+6.5,09/02/2016,2016-09-03 00:00:16.621525
Massachusetts,Florida,50.5,+37,09/02/2016,2016-09-03 00:00:16.621525
New Mexico State,UTEP,60.5,+10,09/02/2016,2016-09-03 00:00:16.621525
Fresno State,Nebraska,63,+28.5,09/02/2016,2016-09-03 00:00:16.621525
USC,Alabama,52,+12.5,09/02/2016,2016-09-03 00:00:16.621525
Clemson,Auburn,64,-8.5,09/02/2016,2016-09-03 00:00:16.621525
BYU,Arizona,61,-2.5,09/02/2016,2016-09-03 00:00:16.621525
Northern Illinois,Wyoming,54.5,-9,09/02/2016,2016-09-03 00:00:16.621525
Louisiana Tech,Arkansas,53,+24.5,09/02/2016,2016-09-03 00:42:06.527885
North Carolina,Georgia,57.5,+3,09/02/2016,2016-09-03 00:48:10.180419
Northern Illinois,Wyoming,54.5,-8.5,09/02/2016,2016-09-03 00:48:10.180419
Georgia Tech,Boston College,43,-3.5,09/02/2016,2016-09-03 01:48:23.079358
Hawaii,Michigan,55.5,+38.5,09/03/2016,2016-09-03 12:00:20.454510
Western Michigan,Northwestern,53,+3.5,09/03/2016,2016-09-03 12:00:20.454510
Bowling Green,Ohio State,64.5,+28,09/03/2016,2016-09-03 12:00:20.454510
Missouri,West Virginia,51.5,+10,09/03/2016,2016-09-03 12:00:20.454510
South Alabama,Mississippi State,52.5,+27.5,09/03/2016,2016-09-03 12:00:20.454510
Oklahoma,Houston,66.5,-13,09/03/2016,2016-09-03 12:00:20.454510
Rutgers,Washington,55.5,+26,09/03/2016,2016-09-03 12:00:20.454510
Miami Ohio,Iowa,52,+28,09/03/2016,2016-09-03 12:00:20.454510
Kent State,Penn State,44.5,+23,09/03/2016,2016-09-03 12:00:20.454510
Texas State,Ohio,60.5,+19,09/03/2016,2016-09-03 12:00:20.454510
UCLA,Texas A&M,53,+3,09/03/2016,2016-09-03 12:00:20.454510
LSU,Wisconsin,45,-13,09/03/2016,2016-09-03 12:00:20.454510
Louisiana Tech,Arkansas,52.5,+24.5,09/03/2016,2016-09-03 12:00:20.454510
North Carolina,Georgia,58,+3.5,09/03/2016,2016-09-03 12:00:20.454510
SMU,North Texas,67,-9,09/03/2016,2016-09-03 12:00:20.454510
San Jose State,Tulsa,70.5,+5,09/03/2016,2016-09-03 12:00:20.454510
Southern Miss,Kentucky,63.5,+4,09/03/2016,2016-09-03 12:00:20.454510
Massachusetts,Florida,51,+36.5,09/03/2016,2016-09-03 12:00:20.454510
New Mexico State,UTEP,60.5,+9,09/03/2016,2016-09-03 12:00:20.454510
Fresno State,Nebraska,63,+28.5,09/03/2016,2016-09-03 12:00:20.454510
USC,Alabama,52,+12.5,09/03/2016,2016-09-03 12:00:20.454510
Clemson,Auburn,63,-9,09/03/2016,2016-09-03 12:00:20.454510
BYU,Arizona,61,-1.5,09/03/2016,2016-09-03 12:00:20.454510
Northern Illinois,Wyoming,54,-8,09/03/2016,2016-09-03 12:00:20.454510
Miami Ohio,Iowa,52,+27.5,09/03/2016,2016-09-03 12:06:21.384999
UCLA,Texas A&M,53.5,+3,09/03/2016,2016-09-03 12:06:21.384999
New Mexico State,UTEP,60.5,+9.5,09/03/2016,2016-09-03 12:06:21.384999
Kent State,Penn State,45,+23,09/03/2016,2016-09-03 12:12:18.521334
SMU,North Texas,67.5,-9,09/03/2016,2016-09-03 12:12:18.521334
